,09-08-2026,09-09-2026,09-10-2026,09-11-2026,09-12-2026
Abdulla Zaman,3.4m,7m,2.4m,1m,2m
Ahmed,3.8m,3m,3.8m,971.5k,2.4m
Aiko S,0,0,0,2.7m,913k
Aladita,269.9k,717.9k,598.6k,441.4k,601.6k
Alexandra,3.9m,8.8m,4.2m,3.1m,2.3m
Alexia Tarabotti,1.8m,7.9m,1.9m,2.9m,1.1m
Allhailshay,1.6m,637.5k,2.7m,0,0
Angry Bird,3.5m,2.5m,2.7m,1.1m,857.7k
Atomickitkat16,0,0,1.7m,0,749.5k
Bartlebert,3.3m,3.1m,3.2m,2m,0
Beciaishere,2.6m,3.7m,1.9m,1m,1.9m
beebutterfly,4.2m,4.9m,7m,2m,536.4k
Bmrb,818.4k,1.2m,1.1,252.8k,803.6k
Boon dingotti,3.1m,2.9m,3.5m,2.4m,9m
Break CL,2.5m,1.6m,1.8m,2m,2m
Butterfly276583,0,0,0,0,763.8k
Casagrande2108,395.2k,1m,828.2k,538.3k,570.5k
CeeCeeCee,1.3m,958k,711.2k,0,584k
Crazywaifu,979.2k,1.3m,0,2.1m,1.1m
Crissid,1m,1.1m,745.4k,1m,1.3m
ct323i,1.3m,1.7m,1.2m,1m,1.9m
CurioCT,173k,800.1k,461k,563.5k,835.9k
ddz123,3.5m,2.8m,2.2m,2m,2.8m
Deb83,2.9m,2.2m,2.1m,2.1m,694.4k
Den Sorte Dod,1.3m,857.5k,483.1k,376.5k,1.2m
lord el Diabo,3.5m,5.4m,2.5m,5m,2.1m
Diplodocus,818.5k,944.2k,391.3k,661.5k,884.5k
Dromund Kaas,549.9k,1.1m,684.5k,238.1k,1.2m
ElfasTheBrave,2.1m,2.1m,1.1m,2m,2m
Fogoro,256.7k,1.6m,1.1m,844.8k,1.2m
Fox,1.1m,8.1m,3.5m,2.9m,3.1m
Grimvs,2.4m,2.3m,3.2m,2.2m,1.8m
Grissom631,2.6m,2.4m,2.8m,2m,888.4k
Issa0313,2.2m,2.4m,2.6m,2.3m,1.6m
-Amjad,3.4m,4.5m,3m,5m,3.9m
Jenny Dingotti,3.4m,2.8m,3.2m,1.8m,1.2m
Juliesue,2.7m,0,0,592.7k,866.2k
Justmewhyme,2.7m,2.4m,3.2m,2m,680k
Kleetoris,3.1m,5.4m,3.2m,4.2m,10.1m
LadyK,4.4m,3.9m,6.5m,2.5m,4.9m
LDR,1.3m,2.1m,1.5m,1.3m,946.3k
Limussia,3.8m,3.4m,2.6m,546.9k,2m
Liouka,2.2m,893.1k,2m,1.3m,340k
Luffy0,2.3m,2m,2m,2.4m,742.1k
Lusimella,2.2m,884k,1.7m,863.2k,784.9k
Mahrodg,2.2m,4.7m,1.7m,1.2m,136k
Manowarr,258.8k,252.9k,191.3k,245k,301.1k
Maprikea,1.8m,3m,2.2m,692.9k,675k
Marwan,2.5m,2m,2m,2.1m,1.8m
meemee,2.4m,1.9m,3.7m,998.2k,2.2m
Megeira,0,0,2m,1.2m,1.1m
Memis Outback,1.1m,2.3m,855k,888.1k,1.3m
Miccy,1.4m,1.1m,538k,511.5k,567k
Mirasol,2.2m,1.3m,1.8m,350.9k,1m
Mishkamoo,2.9m,2.1m,1.6m,2.7m,1.8m
Momo,2.8m,3.2m,3.1m,4.1m,2.6m
Nachurriii,0,0,0,0,271.9k
Nahshesright,1.4m,2.1m,2.1m,2m,2.3m
Nasam,0,0,1.2m,0,975.3k
OGsteele,3.7m,6.4m,4.3m,3.3m,1.5m
Omega4431,2.7m,5.4m,3.2m,4.5m,858.3k
Oranit,3.8m,7.8m,4.7m,7.4m,7.4m
Otylka,1.3m,988.3k,2.5m,279.8k,1.1m
Ozz1234,1.9m,1.9m,3.5m,674.7k,1m
Pe Yo,2.9m,2.8m,1.1m,1.8m,807.6k
Plumpkin364,2.1m,4.2m,4.7m,3.7m,2.4m
Preacher,2.1m,2.2m,2m,2.1m,806k
PrttynPtty Phz,1.6m,2.2m,140.7k,2.3m,782.6k
PurpleCat10,0,883k,0,0,857k
Rainon,3m,2m,0,730.5k,1.8m
Ryjhg,1.5m,1.8m,1.8m,2.1m,804.9k
S4schA22o3,2.5m,5.4m,2.9m,2.1m,908.7k
Sakuritta,2.7m,2.5m,1.5m,2.1m,1m
Sarmed,316k,790.7k,388.7k,1m,352.2k
Sax Girl,1.3m,1.1m,266.9k,1.1m,510k
Shuvani,0,2m,5.1m,2.3m,1.2m
Snowden,2m,5m,2.1m,2.3m,6.4m
Spamville,1.2m,0,0,2.8m,467.5k
Supermikepun,7.5m,4.3m,4.8m,1.7m,1.6m
Svenkaichi,2.4m,3.7m,3.5m,2m,1.9m
The Fyren Order ,1.3m,1.7m,1.8m,553k,0
The Legend,0,0,2.4m,1.1m,249k
Thomas74,2.4m,3.7m,3.5m,2.3m,5.5m
Trauma,10m,8.2m,6.8m,3.2m,3.1m
Tui23,2.2m,2.7m,3.8m,2.2m,2.1m
Tuulip,2.2m,2.2m,1.4m,988.7k,2.3m
Twiggy,1m,1.2m,1.8m,2.9m,500.3k
Venom,1.8m,1.7m,2m,2.2m,2.3m
Verstappen,5.5m,4.3m,3m,2.5m,14.8m
Vorth,2m,4.8m,2.4m,2.6m,797k
Zilvays,2.1m,1.8m,1.4m,1.5m,1.5m
Zombielicious,1.3m,614.6k,567.2k,783.7k,1.6m
