,17/08/2026,18/08/2026,19/08/2026,20/08/2026,21/08/2026,22/08/2026,24/08/2026,25/08/2026,26/08/2026,27/08/2026,28/08/2026,29/08/2026,31/08/2026,01/09/2026,02/09/2026,03/09/2026,04/09/2026,05/09/2026,07/09/2026
Abdulla Zaman,6.9m,3m,3.5m,4.2m,2.8m,5.9m,6.6m,4.6m,5.1m,4.5m,1.2m,15.7m,6.7m,3m,4.4m,3.1m,1.1m,2m,8.5m
Ahmed,2.3m,4.6m,2.8m,4.4m,1.5m,3m,2.9m,3.8m,5.4m,4.1m,6.8m,3.1m,3.4m,2.6m,4.8m,4.6m,2.3m,6.9m,6.1m
Aiko S,0,2.7m,2.1m,2m,1.3m,499.8k,2.8m,2.2m,2.2m,3.5m,2.3m,513.3k,1.9m,2.1m,0,2m,640.8k,710.7k,0
Aladita,817.1k,538.2k,1.1m,1.5m,1.2m,2m,1m,593.1k,1.2m,1.1m,1.6m,919.3k,790k,416.6k,938.9k,1m,2.9m,823.9k,0
Alexandra,5.8m,3.8m,6.1m,3.5m,6.5m,7.5m,5.5m,3.2m,4.9m,4.7m,5.6m,4.6m,8.4m,3.7m,4.3m,5m,4m,1.2m,5.1m
Alexia Tarabotti,1.1m,1.8m,1.5m,3.9m,1.2m,719.9k,0,1.9m,844.8k,2.3m,2.7m,2.7m,264.6k,2.8m,1.8m,3.6m,1.2m,722.5k,2.8m
Allhailshay,0,3.4m,0,2m,153.8k,949.3k,2.3m,0,0,0,536.2k,0,1.1m,0,0,425.9k,0,0,0
Also SarahElaina,2.2m,2m,2.1m,1.6m,630.9k,581k,1.5m,0,0,140.8k,2m,1.1m,1.3m,2.6m,2.4m,956.9k,0,0,927k
Angry Bird,0,2.1m,3.6m,3m,1.7m,3.9m,17.5m,3.4m,5.8m,3.1m,406.1k,1.8m,9.3m,4.9m,2.4m,3.4m,1.5m,2.3m,5.9m
Atomickitkat16,1.2m,0,1.9m,0,2.2m,567.2k,2m,1.4m,0,1.5m,2.1m,1.4m,1.2m,130.7k,0,2.1m,0,10k,0
Bartlebert,2.6m,2.4m,2.2m,2.2m,2.3m,843.4k,4.2m,2.4m,3.4m,2.8m,2.8m,779.8k,3m,2.2m,4.1m,2.7m,1.9m,2.1m,5.9m
Beciaishere,4m,0,2.4m,2.2m,3.6m,4.6m,9.8m,4.2m,3.8m,2.4m,1.3m,854.7k,3.7m,3.2m,4.1m,2.7m,2m,2m,5.4m
beebutterfly,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bmrb,0,868.4k,517k,0,0,633.5k,489.8k,1m,1.2m,0,998.4k,1m,897k,934.2k,911.1k,1.2m,959.2k,485.1k,1.1m
Boner,3.1m,2.6m,4.5m,2.4m,4.4m,6.2m,3.1m,1.4m,3.4m,5.6m,2.8m,18.2m,8.5m,4.4m,3m,3.8m,2.5m,9.4m,9m
Breaker CL,2.9m,2m,2m,1.4m,3.5m,2.8m,2.8m,1m,1.4m,2.3m,4.6m,4.8m,3.5m,1.6m,2.9m,1.5m,2.5m,7m,2.9m
Butterfly276583,0,0,0,0,0,0,3.3m,2.5m,0,0,2.2m,614.1k,0,0,0,0,0,711.5k,0
Casagrande2108,2.2m,577.4k,1.1m,548.4k,276k,633k,172.7k,532.4k,1.9m,548.1k,1.1m,706.2k,1m,469.9k,1m,1.1m,587.6k,678.5k,1.5m
CeeCeeCee,1.4m,1.1m,875.2k,905.2k,725.8k,794.5k,845.9k,562.2k,0,0,1.5m,700.5k,586.2k,568.2k,548.4k,1.2m,826.6k,292k,953.9k
ChelseaLou,0,0,0,0,927.8k,0,0,0,0,0,1m,0,389.3k,1.3m,0,0,1m,0,0
Crazywaifu,0,1.5m,0,0,318.6k,677.2k,443.8k,0,1.4m,2.3m,1.1m,524.9k,961.3k,1.4m,1.1m,1.2m,1.1m,382.5k,1.4m
Crissid,2m,1m,1.2m,1m,1m,467.5k,2.1m,1m,1.2m,794.3k,1m,467.5k,1.2m,1.1m,1.4m,1.1m,1m,425k,2.1m
ct323i,3.1m,7.5m,2.6m,3.1m,1m,3.1m,4m,1.4m,2.3m,4.6m,247.4k,2.4m,1.4m,1.6m,1.1m,2.4m,2.7m,1m,1.6m
CurioCT,662.1k,171.3k,774.6k,1.2m,345k,1m,0,0,825.6k,1m,1m,1.1m,937.9k,423.6k,689.6k,0,1.2m,505.4k,1.1m
ddz123,2.1m,2m,2m,2m,2m,3.2m,3.9m,1.5m,1.9m,3.4m,2.8m,2.5m,3.7m,2m,2.2m,2.3m,2m,4.4m,3.6m
Deb83,2.1m,2.3m,3.9m,3.6m,2.3m,595k,4.4m,2m,2.5m,2.8m,2.4m,889.7k,6.4m,3m,2.9m,2.3m,1m,767.1k,4.9m
Den Sorte Dod,485.9k,606.1k,673.1k,911.9k,1.2m,1.2m,459.4k,454.6k,461.8k,348.4k,1.1m,839.7k,187.8k,226.8k,1.6m,2.1m,2.7m,617k,869.3k
Diabo,4.3m,2.4m,2.8m,2.5m,7.1m,7.4m,5.1m,2.3m,2.9m,4.2m,5m,6.7m,5.2m,2.1m,2.2m,3.1m,5.5m,8.5m,5.7m
Diplodocus,931.1k,889.7k,837.8k,742.5k,632k,580k,1m,1.3m,1.2m,885.6k,1.3m,616.2k,2m,1.1m,1m,946k,1.4m,1.4m,778.8k
Dromund Kaas,0,439.8k,1.1m,892.7k,2.4m,346.4k,268.6k,367.5k,1m,568.1k,1.1m,625.6k,179k,491.5k,1.1m,709.6k,597.5k,784.5k,720.5k
ElfasTheBrave,2.1m,1.1m,0,2.1m,1.2m,642.1k,2.3m,2.1m,3.5m,2.3m,2m,1.7m,4.1m,2m,3.7m,2.3m,851.8k,662.3k,5.2m
Fogoro,1.4m,1m,827.2k,2m,967.1k,2m,1.4m,617.4k,1.7m,2.2m,1.4m,1.8m,2.1m,363.5k,1.6m,1.3m,1.5m,1m,2.2m
Fox,6.7m,2m,3.8m,2.5m,868.5k,6m,9m,2.4m,8.4m,2.2m,2.1m,16.9m,7.1m,2.1m,3.1m,2.3m,1.1m,14m,15.1m
Georgecris,192.5k,695.8k,0,773.7k,371.3k,0,0,0,423.3k,0,812k,249k,0,0,0,826.6k,0,534.5k,703.5k
Goldensun25,0,0,0,0,0,0,0,0,0,0,0,74.8k,,,,,,23.7k,
